CVE ID,Base Score,Attack Vector,Privileges Required,User Interaction,Vector String,CVSS Version,Error
CVE-2007-2152,7.9,ADJACENT_NETWORK,NA,NA,AV:A/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2009-5118,9.3,NETWORK,NA,NA,AV:N/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2010-0727,4.9,LOCAL,NA,NA,AV:L/AC:L/Au:N/C:N/I:N/A:C,CVSS V2,
CVE-2012-2697,4.9,LOCAL,NA,NA,AV:L/AC:L/Au:N/C:N/I:N/A:C,CVSS V2,
CVE-2012-3440,5.6,LOCAL,NA,NA,AV:L/AC:H/Au:N/C:N/I:C/A:C,CVSS V2,
CVE-2013-1935,5.7,ADJACENT_NETWORK,NA,NA,AV:A/AC:M/Au:N/C:N/I:N/A:C,CVSS V2,
CVE-2013-2188,4.7,LOCAL,NA,NA,AV:L/AC:M/Au:N/C:N/I:N/A:C,CVSS V2,
CVE-2013-2224,6.9,LOCAL,NA,NA,AV:L/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2013-5056,9.3,NETWORK,NA,NA,AV:N/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2013-5058,6.9,LOCAL,NA,NA,AV:L/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2014-0301,9.3,NETWORK,NA,NA,AV:N/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2014-0315,6.9,LOCAL,NA,NA,AV:L/AC:M/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2014-0323,6.6,LOCAL,NA,NA,AV:L/AC:L/Au:N/C:C/I:N/A:C,CVSS V2,
CVE-2014-7993,3.3,ADJACENT_NETWORK,NA,NA,AV:A/AC:L/Au:N/C:P/I:N/A:N,CVSS V2,
CVE-2014-7994,5.4,ADJACENT_NETWORK,NA,NA,AV:A/AC:M/Au:N/C:P/I:P/A:P,CVSS V2,
CVE-2014-7995,7.2,LOCAL,NA,NA,AV:L/AC:L/Au:N/C:C/I:C/A:C,CVSS V2,
CVE-2014-7999,7.7,ADJACENT_NETWORK,NA,NA,AV:A/AC:L/Au:S/C:C/I:C/A:C,CVSS V2,
CVE-2015-7833,4.9,LOCAL,NA,NA,AV:L/AC:L/Au:N/C:N/I:N/A:C,CVSS V2,
CVE-2016-1425,6.5,ADJACENT_NETWORK,NONE,NONE,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVSS V30,
CVE-2016-6473,6.5,ADJACENT_NETWORK,NONE,NONE,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVSS V30,
CVE-2017-12607,7.8,LOCAL,NONE,REQUIRED,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CVSS V31,
CVE-2017-3803,4.7,ADJACENT_NETWORK,NONE,NONE,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:L,CVSS V30,
CVE-2017-6606,6.4,PHYSICAL,NONE,NONE,CVSS:3.0/AV:P/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS V30,
CVE-2017-8543,9.8,NETWORK,NONE,NONE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVSS V31,
CVE-2018-0284,6.5,NETWORK,LOW,NONE,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,CVSS V30,
CVE-2020-13958,7.8,LOCAL,NONE,REQUIRED,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CVSS V31,
CVE-2020-5765,5.4,NETWORK,LOW,REQUIRED,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,CVSS V31,
CVE-2020-7337,6.5,LOCAL,HIGH,REQUIRED,CVSS:3.1/AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,CVSS V31,
CVE-2021-20135,6.7,LOCAL,HIGH,NONE,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CVSS V31,
CVE-2021-33035,7.8,LOCAL,NONE,REQUIRED,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CVSS V31,
